# PORT M2 port m2 EXIT CENSUS 2 — exit rules priced on the agreement-selected books (E3-E7 develop; prop constraints enforced in code) (lane=port-m2-exits2; version=PORT-M2-EXITCENSUS2-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP LAW, ENFORCED IN CODE: no exit before 1800 seconds (30 minutes) of hold.  `_check_holds` REFUSES the stage if any priced seat holds less than that with the phase close still open, so a hold shorter than 30 minutes can only be the phase close itself arriving.  Every rule is POSITION MANAGEMENT on an open trade; no microscalp is expressible.
# The $900 wall and the phase-close contract stay in force.  A rule may only move the exit EARLIER than the phase close; the wall always wins if it reaches the position first.
# THE SEAT SET IS HELD FIXED across every rule.  Earlier exits free occupancy, so re-seating could only ADD trades; not counting them is the conservative choice and is declared, not hidden.
# d_* columns are deltas against the PHASE-CLOSE baseline on the SAME book and the SAME seats.  d_usd_per_session_displaced is the same rule's hold-time distribution randomly re-assigned across seats (same timing, no path information); d_minus_displaced is the information the rule actually adds.  A rule whose d_minus_displaced is ~0 is a hold-length artefact.
# capture_of_ceiling = usd_per_session / the ENTRY FORESIGHT ceiling (the per-session one-position DP over every candidate, phase-close contract) -- what perfect ENTRY selection is worth.  capture_of_full_ceiling uses the anchored ORACLE legs, i.e. perfect entries AND perfect exits (clairvoyant; an outer bound nobody can trade).
# TARGETS ON THE TABLE FACE: floor $2000/session/asset (floor_2000); aim $2500-3000 (aim_2500_3000).
# FAMILY 3 (PARTIAL BANK) IS NOT DEPLOYABLE AT ONE CONTRACT -- you cannot sell half a contract.  Its rows are the two-contract-equivalent (each half carries half the gross, the round-trip cost charged once, the second exit's own slippage NOT charged) and are a SIZING QUESTION FOR THE USER, never a drop-in rule.
# DISCRIMINATION: precision_on_losers is the share of TRIGGERED trades that were going to lose anyway; lift_over_base divides it by the book's own loser rate.  A lift of 1.0 means the condition fires on winners and losers alike and cannot pay at any threshold.
# The CLAIRVOYANT BOUND rows are not rules and are not tradeable: they use the answer.  They exist to say what the entire exit layer could be worth at most under the 30-minute law, which is the number that decides whether more exit work is justified.
book_tau	era	condition	n_seats	n_sessions	n_losers	base_loser_rate	n_triggered	trig_rate_on_winners	trig_rate_on_losers	precision_on_losers	lift_over_base	mean_delta_if_cut_winner	mean_delta_if_cut_loser	delta_usd_per_session	note
0.90	E4	sits below -$400 after 30 min	66	64	13	0.197	1	0.0	0.0769	1.0	5.077		-450.0	-7.03	
0.90	E4	sits below -$600 after 30 min	66	64	13	0.197	1	0.0	0.0769	1.0	5.077		-450.0	-7.03	
0.90	E4	reclaim level lost by 0.10 ATR	66	64	13	0.197	7	0.0755	0.2308	0.4286	2.176	-870.31	-158.33	-61.82	
0.90	E4	reclaim level lost by 0.20 ATR	66	64	13	0.197	1	0.0	0.0769	1.0	5.077		-450.0	-7.03	
0.90	E4	15 min of adverse flow, >=0.05 ATR	66	64	13	0.197	63	0.9623	0.9231	0.1905	0.967	-294.12	130.21	-209.96	
0.90	E4	15 min of adverse flow, >=0.25 ATR	66	64	13	0.197	7	0.1321	0.0	0.0	0.0	-80.36		-8.79	
0.90	E4	trail armed +$900, 60min extreme	66	64	13	0.197	17	0.3208	0.0	0.0	0.0	-265.07		-70.41	
0.90	E4	ORACLE cut every eventual loser at 30 min	66	64	13	0.197	13			1.0				36.62	CLAIRVOYANT BOUND
0.90	E4	ORACLE cut every eventual loser at its best post-30min second	66	64	13	0.197	13			1.0				80.37	CLAIRVOYANT BOUND
0.90	E4	ORACLE take EVERY trade out at its best post-30min second	66	64	13	0.197	13			1.0				376.95	CLAIRVOYANT BOUND
0.90	E5	sits below -$400 after 30 min	86	77	9	0.1047	2	0.0	0.2222	1.0	9.556		50.0	1.3	
0.90	E5	sits below -$600 after 30 min	86	77	9	0.1047	1	0.0	0.1111	1.0	9.556		-100.0	-1.3	
0.90	E5	reclaim level lost by 0.10 ATR	86	77	9	0.1047	5	0.013	0.4444	0.8	7.644	-337.5	56.25	-1.46	
0.90	E5	reclaim level lost by 0.20 ATR	86	77	9	0.1047	2	0.0	0.2222	1.0	9.556		-56.25	-1.46	
0.90	E5	15 min of adverse flow, >=0.05 ATR	86	77	9	0.1047	83	0.961	1.0	0.1084	1.036	-319.76	188.89	-285.23	
0.90	E5	15 min of adverse flow, >=0.25 ATR	86	77	9	0.1047	11	0.1169	0.2222	0.1818	1.737	-424.31	-43.75	-50.73	
0.90	E5	trail armed +$900, 60min extreme	86	77	9	0.1047	27	0.3506	0.0	0.0	0.0	-201.85		-70.78	
0.90	E5	ORACLE cut every eventual loser at 30 min	86	77	9	0.1047	9			1.0				21.43	CLAIRVOYANT BOUND
0.90	E5	ORACLE cut every eventual loser at its best post-30min second	86	77	9	0.1047	9			1.0				58.6	CLAIRVOYANT BOUND
0.90	E5	ORACLE take EVERY trade out at its best post-30min second	86	77	9	0.1047	9			1.0				329.14	CLAIRVOYANT BOUND
0.90	E6	sits below -$400 after 30 min	6	6	0	0.0	0	0.0						0.0	
0.90	E6	sits below -$600 after 30 min	6	6	0	0.0	0	0.0						0.0	
0.90	E6	reclaim level lost by 0.10 ATR	6	6	0	0.0	0	0.0						0.0	
0.90	E6	reclaim level lost by 0.20 ATR	6	6	0	0.0	0	0.0						0.0	
0.90	E6	15 min of adverse flow, >=0.05 ATR	6	6	0	0.0	5	0.8333		0.0		-240.0		-200.0	
0.90	E6	15 min of adverse flow, >=0.25 ATR	6	6	0	0.0	0	0.0						0.0	
0.90	E6	trail armed +$900, 60min extreme	6	6	0	0.0	0	0.0						0.0	
0.90	E6	ORACLE cut every eventual loser at 30 min	6	6	0	0.0	0			1.0				0.0	CLAIRVOYANT BOUND
0.90	E6	ORACLE cut every eventual loser at its best post-30min second	6	6	0	0.0	0			1.0				0.0	CLAIRVOYANT BOUND
0.90	E6	ORACLE take EVERY trade out at its best post-30min second	6	6	0	0.0	0			1.0				102.08	CLAIRVOYANT BOUND
0.90	E7	sits below -$400 after 30 min	75	72	6	0.08	4	0.029	0.3333	0.5	6.25	-1893.75	-34.38	-53.56	
0.90	E7	sits below -$600 after 30 min	75	72	6	0.08	0	0.0	0.0					0.0	
0.90	E7	reclaim level lost by 0.10 ATR	75	72	6	0.08	4	0.029	0.3333	0.5	6.25	-1893.75	-96.88	-55.3	
0.90	E7	reclaim level lost by 0.20 ATR	75	72	6	0.08	0	0.0	0.0					0.0	
0.90	E7	15 min of adverse flow, >=0.05 ATR	75	72	6	0.08	70	0.9275	1.0	0.0857	1.071	-570.41	136.46	-495.66	
0.90	E7	15 min of adverse flow, >=0.25 ATR	75	72	6	0.08	3	0.029	0.1667	0.3333	4.167	-1571.88	-168.75	-46.01	
0.90	E7	trail armed +$900, 60min extreme	75	72	6	0.08	38	0.5507	0.0	0.0	0.0	-281.09		-148.35	
0.90	E7	ORACLE cut every eventual loser at 30 min	75	72	6	0.08	6			1.0				29.95	CLAIRVOYANT BOUND
0.90	E7	ORACLE cut every eventual loser at its best post-30min second	75	72	6	0.08	6			1.0				41.06	CLAIRVOYANT BOUND
0.90	E7	ORACLE take EVERY trade out at its best post-30min second	75	72	6	0.08	6			1.0				387.76	CLAIRVOYANT BOUND
0.90	POOLED	sits below -$400 after 30 min	235	221	28	0.1191	7	0.0097	0.1786	0.7143	5.995			-19.03	
0.90	POOLED	sits below -$600 after 30 min	235	221	28	0.1191	2	0.0	0.0714	1.0	8.393			-2.49	
0.90	POOLED	reclaim level lost by 0.10 ATR	235	221	28	0.1191	16	0.0338	0.3214	0.5625	4.721			-36.43	
0.90	POOLED	reclaim level lost by 0.20 ATR	235	221	28	0.1191	3	0.0	0.1071	1.0	8.393			-2.55	
0.90	POOLED	15 min of adverse flow, >=0.05 ATR	235	221	28	0.1191	223	0.9469	0.9643	0.1211	1.016			-329.07	
0.90	POOLED	15 min of adverse flow, >=0.25 ATR	235	221	28	0.1191	21	0.087	0.1071	0.1429	1.199			-35.21	
0.90	POOLED	trail armed +$900, 60min extreme	235	221	28	0.1191	83	0.401	0.0	0.0	0.0			-93.78	
