# PORT M2 port m2 EXIT CENSUS 2 — exit rules priced on the agreement-selected books (E3-E7 develop; prop constraints enforced in code) (lane=port-m2-exits2; version=PORT-M2-EXITCENSUS2-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP LAW, ENFORCED IN CODE: no exit before 1800 seconds (30 minutes) of hold.  `_check_holds` REFUSES the stage if any priced seat holds less than that with the phase close still open, so a hold shorter than 30 minutes can only be the phase close itself arriving.  Every rule is POSITION MANAGEMENT on an open trade; no microscalp is expressible.
# The $900 wall and the phase-close contract stay in force.  A rule may only move the exit EARLIER than the phase close; the wall always wins if it reaches the position first.
# THE SEAT SET IS HELD FIXED across every rule.  Earlier exits free occupancy, so re-seating could only ADD trades; not counting them is the conservative choice and is declared, not hidden.
# d_* columns are deltas against the PHASE-CLOSE baseline on the SAME book and the SAME seats.  d_usd_per_session_displaced is the same rule's hold-time distribution randomly re-assigned across seats (same timing, no path information); d_minus_displaced is the information the rule actually adds.  A rule whose d_minus_displaced is ~0 is a hold-length artefact.
# capture_of_ceiling = usd_per_session / the ENTRY FORESIGHT ceiling (the per-session one-position DP over every candidate, phase-close contract) -- what perfect ENTRY selection is worth.  capture_of_full_ceiling uses the anchored ORACLE legs, i.e. perfect entries AND perfect exits (clairvoyant; an outer bound nobody can trade).
# TARGETS ON THE TABLE FACE: floor $2000/session/asset (floor_2000); aim $2500-3000 (aim_2500_3000).
# FAMILY 3 (PARTIAL BANK) IS NOT DEPLOYABLE AT ONE CONTRACT -- you cannot sell half a contract.  Its rows are the two-contract-equivalent (each half carries half the gross, the round-trip cost charged once, the second exit's own slippage NOT charged) and are a SIZING QUESTION FOR THE USER, never a drop-in rule.
# Pooled over eras SESSION-WEIGHTED (the only pooling that agrees with the $/session headline).  Ranked within book by pooled_d_usd_per_session.
# verdict: PROMOTE = pooled delta positive AND it beats its own displaced-time control AND it is positive in >=4 of the 5 eras.  MIXED = positive pooled but fails one of those.  KILLED = the pooled delta is not positive.
# SELECTION HONESTY: this ranks ~40 rules on the same E3-E7 sample the entries were developed on.  A rule that only just clears zero here is a draw from a search, not a finding; the ADOPTION decision is the user's (D-029).
book_tau	family	rule	knob	n_eras	n_sessions	n_seats	pooled_usd_per_session	pooled_d_usd_per_session	pooled_d_usd_per_trade	pooled_d_displaced	pooled_d_minus_displaced	n_eras_positive	worst_era_delta	best_era_delta	pooled_d_win_rate	pooled_d_wall_stopped	pooled_d_frac_dd_over_1000	hold_min_s_over_eras	mean_frac_triggered	pooled_capture_of_ceiling	pooled_capture_of_full_ceiling	verdict
0.85	5-COMBINATION	CMB_B600_TIME180_300	-$600 cut OR time-decay(180min,+$300)	5	338	368	697.64	-48.5	-44.73	-81.32	32.82	0	-57.55	-36.13	0.0026	-0.0026	0.0	1738	0.244	0.2275	0.2766	KILLED
0.85	2-STRUCTURE-TRAIL	TRAIL_A1200_W60	arm at +$1200, stop behind the 60min extreme	5	338	368	688.14	-58.01	-53.35	-86.48	28.47	0	-83.7	0.0	0.0026	-0.0026	0.0	1738	0.2373	0.2249	0.2738	KILLED
0.85	2-STRUCTURE-TRAIL	TRAIL_A1200_W30	arm at +$1200, stop behind the 30min extreme	5	338	368	685.53	-60.61	-55.28	-113.39	52.78	1	-94.95	45.0	0.0026	-0.0026	0.0	1738	0.2617	0.2242	0.2729	KILLED
0.85	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B900	half off at +$900, remainder to phase close	5	338	368	679.18	-66.96	-61.27	-70.55	3.59	1	-114.42	39.69	0.0053	0.0	0.0	1738	0.4508	0.2227	0.2716	KILLED
0.85	4-TIME-DECAY	TIME120_T150	at entry+120min below +$150 -> exit at market	5	338	368	676.86	-69.28	-63.76	-97.96	28.68	0	-117.95	-21.48	-0.0197	0.0	0.0	1738	0.1971	0.2224	0.2718	KILLED
0.85	4-TIME-DECAY	TIME120_T300	at entry+120min below +$300 -> exit at market	5	338	368	659.0	-87.15	-80.21	-107.05	19.9	0	-182.5	-53.57	-0.0	0.0	0.0	1738	0.3449	0.2161	0.2641	KILLED
0.85	2-STRUCTURE-TRAIL	TRAIL_A900_W60	arm at +$900, stop behind the 60min extreme	5	338	368	648.55	-97.59	-90.04	-99.09	1.5	0	-144.05	0.0	-0.0001	-0.0026	0.0	1738	0.3534	0.2124	0.2588	KILLED
0.85	5-COMBINATION	CMB_B600_TRAIL900_60	-$600 cut OR trail(+$900,60min)	5	338	368	641.56	-104.58	-96.52	-119.59	15.0	0	-155.95	-29.55	-0.0027	-0.0026	0.0	1738	0.3646	0.2104	0.2565	KILLED
0.85	1-MID-HOLD-DISQ	MHD_STRUCT_0.05ATR	reclaim level lost by 0.05 ATR	5	338	368	640.8	-105.34	-96.65	-122.55	17.2	0	-223.75	-15.91	-0.0976	-0.0026	0.0	1738	0.155	0.2111	0.2589	KILLED
0.85	2-STRUCTURE-TRAIL	TRAIL_A900_W30	arm at +$900, stop behind the 30min extreme	5	338	368	628.43	-117.71	-107.91	-128.99	11.28	1	-179.85	43.75	0.0053	-0.0026	0.0	1738	0.4048	0.2059	0.2509	KILLED
0.85	5-COMBINATION	CMB_B600_TRAIL900_30	-$600 cut OR trail(+$900,30min)	5	338	368	620.85	-125.29	-114.92	-132.54	7.24	1	-193.35	43.75	0.0026	-0.0026	0.0	1738	0.416	0.2037	0.2484	KILLED
0.85	5-COMBINATION	CMB_TRIPLE	-$600 OR trail(+$900,60min) OR time(180,+$300)	5	338	368	611.12	-135.02	-124.67	-122.67	-12.36	0	-175.1	-40.91	-0.0001	-0.0026	0.0	1738	0.5681	0.1995	0.2423	KILLED
0.85	2-STRUCTURE-TRAIL	TRAIL_A600_W60	arm at +$600, stop behind the 60min extreme	5	338	368	599.38	-146.76	-134.02	-135.23	-11.54	0	-235.55	-1.14	-0.0027	-0.0026	0.0	1738	0.4917	0.1973	0.2414	KILLED
0.85	5-COMBINATION	CMB_B600_TRAIL600_60	-$600 cut OR trail(+$600,60min)	5	338	368	592.39	-153.75	-140.5	-125.24	-28.51	0	-247.45	-30.68	-0.0054	-0.0026	0.0	1738	0.5028	0.1952	0.239	KILLED
0.85	2-STRUCTURE-TRAIL	TRAIL_A600_W30	arm at +$600, stop behind the 30min extreme	5	338	368	548.07	-198.08	-180.76	-175.35	-22.73	1	-315.75	33.75	0.0053	-0.0026	0.0	1738	0.5647	0.1808	0.2212	KILLED
0.85	5-COMBINATION	CMB_B600_TRAIL600_30	-$600 cut OR trail(+$600,30min)	5	338	368	540.49	-205.66	-187.77	-181.31	-24.34	1	-329.25	33.75	0.0026	-0.0026	0.0	1738	0.5758	0.1785	0.2187	KILLED
0.85	1-MID-HOLD-DISQ	MHD_FLOW15_0.10ATR	15min against, >=0.10 ATR given up	5	338	368	499.14	-247.0	-226.25	-198.86	-48.14	0	-338.6	-50.63	-0.0537	-0.0026	0.0	1738	0.673	0.1632	0.1984	KILLED
0.85	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B400	flow OR -$400	5	338	368	399.9	-346.24	-316.78	-308.02	-38.23	0	-500.9	-159.09	-0.0952	-0.0026	0.0	1738	0.9209	0.1325	0.163	KILLED
0.85	1-MID-HOLD-DISQ	MHD_FLOW15_0.05ATR	15min against, >=0.05 ATR given up	5	338	368	398.72	-347.43	-317.81	-304.77	-42.65	0	-505.4	-160.23	-0.0952	-0.0026	0.0	1738	0.9209	0.1322	0.1628	KILLED
0.85	1-MID-HOLD-DISQ	MHD_ANY3	struct .10 OR flow OR -$600	5	338	368	398.68	-347.46	-317.87	-308.15	-39.31	0	-503.2	-159.09	-0.0952	-0.0026	0.0	1738	0.9209	0.1321	0.1625	KILLED
0.85	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B600	flow OR -$600	5	338	368	398.61	-347.54	-317.95	-304.21	-43.33	0	-504.3	-160.23	-0.0952	-0.0026	0.0	1738	0.9209	0.1321	0.1626	KILLED
0.85	1-MID-HOLD-DISQ	MHD_STRUCT10_OR_FLOW05	struct .10 OR flow	5	338	368	398.38	-347.76	-318.14	-308.82	-38.94	0	-504.0	-159.09	-0.0952	-0.0026	0.0	1738	0.9209	0.132	0.1624	KILLED
0.85	5-COMBINATION	CMB_FLOW05_TRAIL900_60	flow cut OR trail(+$900,60min)	5	338	368	392.37	-353.77	-323.51	-306.31	-47.46	0	-522.2	-160.23	-0.0979	-0.0026	0.0	1738	0.9235	0.1305	0.1611	KILLED
0.85	5-COMBINATION	CMB_ANY3_TRAIL900_60	any-3 disqualification OR trail(+$900,60)	5	338	368	392.34	-353.81	-323.57	-306.72	-47.08	0	-520.0	-159.09	-0.0979	-0.0026	0.0	1738	0.9235	0.1304	0.1608	KILLED
0.85	5-COMBINATION	CMB_FLOW05_TRAIL600_60	flow cut OR trail(+$600,60min)	5	338	368	389.64	-356.51	-325.92	-311.51	-44.99	0	-524.75	-160.23	-0.0979	-0.0026	0.0	1738	0.9235	0.1296	0.1598	KILLED
0.85	5-COMBINATION	CMB_FLOW_TRAIL_TIME	flow OR trail(+$600,60min) OR time(180,+$300)	5	338	368	386.46	-359.69	-328.73	-299.37	-60.32	0	-526.9	-160.23	-0.0979	-0.0026	0.0	1738	0.929	0.1284	0.1583	KILLED
0.85	5-COMBINATION	CMB_FLOW05_TRAIL900_30	flow cut OR trail(+$900,30min)	5	338	368	384.65	-361.5	-330.42	-308.22	-53.28	0	-522.65	-160.23	-0.0979	-0.0026	0.0	1738	0.9262	0.1275	0.1568	KILLED
0.85	5-COMBINATION	CMB_FLOW05_TRAIL600_30	flow cut OR trail(+$600,30min)	5	338	368	365.75	-380.4	-347.65	-314.45	-65.95	0	-558.45	-160.23	-0.0979	-0.0026	0.0	1738	0.929	0.1218	0.1502	KILLED
0.85	1-MID-HOLD-DISQ	MHD_FLOW15_LOOSE	15min no new high + net down (LOOSE)	5	338	368	306.52	-439.62	-402.32	-434.04	-5.58	0	-594.25	-236.87	-0.1152	-0.0026	0.0	1738	0.9866	0.1004	0.1223	KILLED
0.90	1-MID-HOLD-DISQ	MHD_BELOW600_AND_FLOW05	-$600 AND flow (later of the two)	5	221	235	711.96	-1.7	-1.61	-63.65	61.96	0	-4.3	0.0	0.0	0.0	0.0	2857	0.0084	0.234	0.2907	KILLED
0.90	1-MID-HOLD-DISQ	MHD_BELOW600	sits below -$600	5	221	235	711.17	-2.49	-2.38	-60.67	58.18	0	-7.03	0.0	0.0	0.0	0.0	1800	0.0084	0.2337	0.2902	KILLED
0.90	1-MID-HOLD-DISQ	MHD_STRUCT_0.20ATR	reclaim level lost by 0.20 ATR	5	221	235	711.12	-2.54	-2.43	-66.27	63.72	0	-7.03	0.0	0.0	0.0	0.0	1800	0.0125	0.2337	0.2902	KILLED
0.90	1-MID-HOLD-DISQ	MHD_BELOW400	sits below -$400	5	221	235	694.63	-19.03	-18.32	-70.09	51.06	1	-53.56	1.3	-0.0087	0.0	0.0	1800	0.0299	0.2295	0.2861	KILLED
0.90	4-TIME-DECAY	TIME180_T150	at entry+180min below +$150 -> exit at market	5	221	235	690.95	-22.71	-21.68	-65.78	43.08	0	-56.25	0.0	0.0	0.0	0.0	2857	0.123	0.2265	0.2806	KILLED
0.90	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B1200	half off at +$1200, remainder to phase close	5	221	235	683.05	-30.61	-28.82	-68.44	37.83	0	-55.21	0.0	0.0	0.0	0.0	2857	0.3083	0.225	0.28	KILLED
0.90	4-TIME-DECAY	TIME180_T300	at entry+180min below +$300 -> exit at market	5	221	235	680.43	-33.23	-31.58	-76.63	43.4	0	-59.48	-19.1	0.0172	0.0	0.0	2857	0.238	0.2228	0.276	KILLED
0.90	1-MID-HOLD-DISQ	MHD_FLOW15_0.25ATR	15min against, >=0.25 ATR given up	5	221	235	678.45	-35.21	-32.69	-85.09	49.88	0	-50.73	0.0	-0.0171	0.0	0.0	2353	0.0883	0.2228	0.2767	KILLED
0.90	1-MID-HOLD-DISQ	MHD_STRUCT10_AND_FLOW05	struct .10 AND flow (later of the two)	5	221	235	678.25	-35.41	-34.17	-62.52	27.11	1	-59.08	0.49	-0.0303	0.0	0.0	1880	0.0683	0.2235	0.2778	KILLED
0.90	1-MID-HOLD-DISQ	MHD_STRUCT_0.10ATR	reclaim level lost by 0.10 ATR	5	221	235	677.23	-36.43	-35.11	-59.22	22.79	0	-61.82	0.0	-0.0303	0.0	0.0	1800	0.0683	0.223	0.2771	KILLED
0.90	5-COMBINATION	CMB_B600_TIME180_300	-$600 cut OR time-decay(180min,+$300)	5	221	235	676.76	-36.91	-35.04	-69.8	32.9	0	-67.87	-19.1	0.0172	0.0	0.0	1800	0.238	0.2214	0.274	KILLED
0.90	2-STRUCTURE-TRAIL	TRAIL_A1200_W60	arm at +$1200, stop behind the 60min extreme	5	221	235	662.25	-51.41	-48.02	-90.35	38.94	0	-83.68	0.0	0.0	0.0	0.0	2857	0.2347	0.218	0.2713	KILLED
0.90	4-TIME-DECAY	TIME120_T150	at entry+120min below +$150 -> exit at market	5	221	235	656.78	-56.88	-54.41	-81.07	24.19	0	-141.67	-25.73	-0.0179	0.0	0.0	2857	0.2217	0.2157	0.2677	KILLED
0.90	4-TIME-DECAY	TIME120_T300	at entry+120min below +$300 -> exit at market	5	221	235	655.55	-58.12	-55.33	-94.58	36.46	0	-179.17	-31.25	0.0124	0.0	0.0	2857	0.3654	0.2154	0.2674	KILLED
0.90	2-STRUCTURE-TRAIL	TRAIL_A1200_W30	arm at +$1200, stop behind the 30min extreme	5	221	235	653.03	-60.64	-56.53	-108.05	47.41	1	-107.21	0.97	0.0	0.0	0.0	2837	0.2478	0.2154	0.2684	KILLED
0.90	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B900	half off at +$900, remainder to phase close	5	221	235	649.55	-64.11	-60.62	-65.73	1.61	1	-105.69	40.63	0.0	0.0	0.0	2857	0.4527	0.2141	0.2665	KILLED
0.90	1-MID-HOLD-DISQ	MHD_STRUCT_0.05ATR	reclaim level lost by 0.05 ATR	5	221	235	640.56	-73.11	-69.19	-101.82	28.72	0	-95.4	0.0	-0.0763	0.0	0.0	1800	0.1403	0.2103	0.261	KILLED
0.90	2-STRUCTURE-TRAIL	TRAIL_A900_W60	arm at +$900, stop behind the 60min extreme	5	221	235	619.88	-93.78	-88.65	-91.53	-2.25	0	-148.35	0.0	-0.013	0.0	0.0	2857	0.3536	0.2045	0.2546	KILLED
0.90	5-COMBINATION	CMB_B600_TRAIL900_60	-$600 cut OR trail(+$900,60min)	5	221	235	617.39	-96.27	-91.03	-104.54	8.27	0	-148.35	0.0	-0.013	0.0	0.0	1800	0.362	0.2036	0.2533	KILLED
0.90	2-STRUCTURE-TRAIL	TRAIL_A900_W30	arm at +$900, stop behind the 30min extreme	5	221	235	597.37	-116.29	-109.45	-129.62	13.33	1	-180.65	6.25	-0.0043	0.0	0.0	2683	0.3967	0.197	0.2454	KILLED
0.90	5-COMBINATION	CMB_B600_TRAIL900_30	-$600 cut OR trail(+$900,30min)	5	221	235	594.88	-118.78	-111.83	-110.38	-8.4	1	-180.65	6.25	-0.0043	0.0	0.0	1800	0.4051	0.1961	0.2441	KILLED
0.90	5-COMBINATION	CMB_TRIPLE	-$600 OR trail(+$900,60min) OR time(180,+$300)	5	221	235	588.83	-124.83	-118.06	-102.12	-22.72	0	-158.42	-29.17	0.0042	0.0	0.0	1800	0.5745	0.1931	0.2394	KILLED
0.90	2-STRUCTURE-TRAIL	TRAIL_A600_W60	arm at +$600, stop behind the 60min extreme	5	221	235	578.11	-135.55	-127.78	-111.26	-24.29	0	-224.92	0.0	-0.0174	0.0	0.0	2857	0.4802	0.1915	0.2392	KILLED
0.90	5-COMBINATION	CMB_B600_TRAIL600_60	-$600 cut OR trail(+$600,60min)	5	221	235	575.62	-138.04	-130.16	-119.83	-18.21	0	-224.92	0.0	-0.0174	0.0	0.0	1800	0.4887	0.1906	0.2379	KILLED
0.90	2-STRUCTURE-TRAIL	TRAIL_A600_W30	arm at +$600, stop behind the 30min extreme	5	221	235	515.98	-197.68	-186.48	-155.62	-42.06	0	-333.6	-37.5	-0.0043	0.0	0.0	2381	0.5576	0.1719	0.2155	KILLED
0.90	5-COMBINATION	CMB_B600_TRAIL600_30	-$600 cut OR trail(+$600,30min)	5	221	235	513.49	-200.17	-188.86	-158.19	-41.99	0	-333.6	-37.5	-0.0043	0.0	0.0	1800	0.5661	0.1709	0.2142	KILLED
0.90	1-MID-HOLD-DISQ	MHD_FLOW15_0.10ATR	15min against, >=0.10 ATR given up	5	221	235	472.77	-240.89	-227.18	-193.21	-47.69	0	-353.91	-145.84	-0.0509	0.0	0.0	1848	0.6912	0.1564	0.1953	KILLED
0.90	1-MID-HOLD-DISQ	MHD_FLOW15_0.05ATR	15min against, >=0.05 ATR given up	5	221	235	384.59	-329.07	-310.37	-275.34	-53.74	0	-495.66	-200.0	-0.0801	0.0	0.0	1825	0.9484	0.1283	0.161	KILLED
0.90	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B400	flow OR -$400	5	221	235	384.47	-329.19	-310.49	-283.96	-45.23	0	-493.58	-200.0	-0.0801	0.0	0.0	1800	0.9484	0.1282	0.1608	KILLED
0.90	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B600	flow OR -$600	5	221	235	383.79	-329.87	-311.14	-279.23	-50.64	0	-495.66	-200.0	-0.0801	0.0	0.0	1800	0.9484	0.128	0.1606	KILLED
0.90	1-MID-HOLD-DISQ	MHD_ANY3	struct .10 OR flow OR -$600	5	221	235	383.57	-330.09	-311.31	-286.42	-43.68	0	-494.28	-200.0	-0.0801	0.0	0.0	1800	0.9484	0.1278	0.1604	KILLED
0.90	1-MID-HOLD-DISQ	MHD_STRUCT10_OR_FLOW05	struct .10 OR flow	5	221	235	383.57	-330.09	-311.31	-287.48	-42.61	0	-494.28	-200.0	-0.0801	0.0	0.0	1800	0.9484	0.1278	0.1604	KILLED
0.90	5-COMBINATION	CMB_FLOW05_TRAIL900_60	flow cut OR trail(+$900,60min)	5	221	235	378.62	-335.04	-316.09	-277.42	-57.62	0	-513.37	-200.0	-0.0844	0.0	0.0	1825	0.9524	0.1267	0.1594	KILLED
0.90	5-COMBINATION	CMB_ANY3_TRAIL900_60	any-3 disqualification OR trail(+$900,60)	5	221	235	377.6	-336.06	-317.03	-276.12	-59.93	0	-511.98	-200.0	-0.0844	0.0	0.0	1800	0.9524	0.1263	0.1587	KILLED
0.90	5-COMBINATION	CMB_FLOW05_TRAIL600_60	flow cut OR trail(+$600,60min)	5	221	235	374.43	-339.23	-319.91	-281.32	-57.9	0	-517.8	-200.0	-0.0844	0.0	0.0	1825	0.9524	0.1253	0.1575	KILLED
0.90	5-COMBINATION	CMB_FLOW_TRAIL_TIME	flow OR trail(+$600,60min) OR time(180,+$300)	5	221	235	373.02	-340.64	-321.26	-282.38	-58.26	0	-521.53	-200.0	-0.0844	0.0	0.0	1825	0.9565	0.1248	0.1571	KILLED
0.90	5-COMBINATION	CMB_FLOW05_TRAIL900_30	flow cut OR trail(+$900,30min)	5	221	235	370.45	-343.22	-323.44	-278.29	-64.92	0	-508.86	-200.0	-0.0844	0.0	0.0	1825	0.9524	0.1233	0.1546	KILLED
0.90	5-COMBINATION	CMB_FLOW05_TRAIL600_30	flow cut OR trail(+$600,30min)	5	221	235	347.51	-366.15	-345.27	-289.0	-77.15	0	-554.69	-200.0	-0.0844	0.0	0.0	1825	0.9569	0.1163	0.1464	KILLED
0.90	1-MID-HOLD-DISQ	MHD_FLOW15_LOOSE	15min no new high + net down (LOOSE)	5	221	235	299.35	-414.31	-390.89	-400.21	-14.1	0	-582.64	-262.5	-0.0841	0.0	0.0	1800	0.9957	0.0993	0.1241	KILLED
