# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# STAGE A. promotion: FALSE. These are not champion claims and no arm is adopted on this table.
# Fitted on the inner-TRAIN days and read on the inner-VALIDATION days of the E3/E5/E7 folds — entirely inside the training block, so no evaluation era is touched by the screen.
# Yardstick = realised $/session under the harness's own cell/N seating, the ONE metric comparable across objectives (a cell's own loss is not).
# Every cell has a SHUFFLED TWIN at identical budget; a cell whose twin reaches its own lift is VOID.
# reference cell = cell|ndcg3|dollars|full|xgb|BASE at $249.17/session
cell	design_block	inner_usd_per_session	lift_vs_reference	shuffled_twin_lift	train_p1	train_p1_shuffled	median_group_size	status	mechanism
day|softmax1|dollars|full|xgb|BASE	granularity_x_obj	-6.27	-255.44	-373.71	0.4104	0.2988	1049.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|ndcg3|maecap|full|xgb|BASE	obj_x_target	-9.61	-258.77	-379.38	0.8444	0.4384	99.8	LIVE	objective x target at group=cell
cell|ndcg1|maecap|full|xgb|BASE	obj_x_target	-9.61	-258.77	-379.38	0.8444	0.4384	99.8	LIVE	objective x target at group=cell
cell|ndcg3|maecap|full|catb|BASE	engine_x_target	-9.65	-258.81	-405.73	0.5011	0.1425	99.8	LIVE	engine x target at the reference feature set
cell|softmax1|maecap|full|xgb|TABPFN	obj_x_target	-10.5	-259.67	-339.55	0.284	0.2518	99.8	LIVE	objective x target at group=cell
cell|softmax1|maecap|full|xgb|DIP	obj_x_target	-10.55	-259.72	-344.52	0.2934	0.2576	99.8	LIVE	objective x target at group=cell
cell|q75|cellrank|full|xgb|DAYSOFAR	obj_x_target	-12.59	-261.76	-333.79	0.6094	0.6893	99.8	LIVE	objective x target at group=cell
cell|ndcg3|winner|full|xgb|TABPFN	obj_x_target	-13.08	-262.24	-365.9	0.9108	0.6398	99.8	LIVE	objective x target at group=cell
cell|ndcg1|winner|full|xgb|TABPFN	obj_x_target	-13.08	-262.24	-365.9	0.9108	0.6398	99.8	LIVE	objective x target at group=cell
cell|dpairs|dollars|full|lgbm|BASE	engine_x_obj	-13.34	-262.51	-358.8	0.8641	0.6011	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|ndcg3|winner|full|xgb|DAYSOFAR	obj_x_target	-16.37	-265.54	-388.38	0.9217	0.6775	99.8	LIVE	objective x target at group=cell
cell|ndcg1|winner|full|xgb|DAYSOFAR	obj_x_target	-16.37	-265.54	-388.38	0.9217	0.6775	99.8	LIVE	objective x target at group=cell
cell|ndcg3|maecap|full|xgb|DIP	obj_x_target	-16.48	-265.65	-333.06	0.8587	0.4459	99.8	LIVE	objective x target at group=cell
cell|ndcg1|maecap|full|xgb|DIP	obj_x_target	-16.48	-265.65	-333.06	0.8587	0.4459	99.8	LIVE	objective x target at group=cell
cell|softmax1|dollars|classfilt|xgb|CELLREL	pop_x_obj	-17.93	-267.09	-318.17	0.5522	0.3601	92.8	LIVE	population x objective at the marquee feature set
assetday|dpairs|dollars|full|xgb|BASE	granularity_x_obj	-18.68	-267.84	-344.01	0.6497	0.2705	366.5	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
joint|q75|dollars|full|xgb|BASE	granularity_x_obj	-19.16	-268.32	-388.77	0.4802	0.2256	495.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
joint|q75|dollars|full|xgb|DAYSOFAR	joint	-19.51	-268.67	-399.48	0.4796	0.2245	495.7	LIVE	OBJ-1: the {member x delay} choice set
day|softmax1|dollars|full|xgb|CELLREL	granularity_x_obj	-21.47	-270.63	-363.08	0.5059	0.3267	1049.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|softmax1|maecap|full|xgb|CELLREL	obj_x_target	-21.72	-270.89	-354.71	0.32	0.2886	99.8	LIVE	objective x target at group=cell
assetday|softmax1|dollars|full|xgb|CELLREL	granularity_x_obj	-21.96	-271.12	-274.64	0.6088	0.3939	366.5	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
day|ndcg3|dollars|full|xgb|BASE	marquee	-24.68	-273.84	-309.63	0.7416	0.379	1049.7	LIVE	grouping x feature-set, the two axes the diagnosis names
day|ndcg1|dollars|full|xgb|BASE	granularity_x_obj	-24.68	-273.84	-309.63	0.7416	0.379	1049.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
joint|softmax1|dollars|full|xgb|DIP	joint	-25.03	-274.2	-378.67	0.3878	0.2599	495.7	LIVE	OBJ-1: the {member x delay} choice set
cell|ndcg3|winner|last2|xgb|CELLREL	pop_x_target	-27.72	-276.89	-323.97	0.9844	0.9462	103.3	LIVE	population x target at the marquee feature set
assetday|dpairs|dollars|full|xgb|CELLREL	granularity_x_obj	-28.61	-277.77	-276.84	0.6442	0.2659	366.5	VOID	group definition is first-order in IR; swept against the objective at both feature levels
cell|q75|cellrank|full|xgb|CELLREL	obj_x_target	-28.62	-277.79	-317.03	0.6118	0.7011	99.8	LIVE	objective x target at group=cell
cell|q75|dollars|full|lgbm|CELLREL	engine_x_obj	-29.65	-278.82	-371.7	0.6245	0.3204	99.8	LIVE	does a different implementation of the same objective matter (the final pass ran engines at defaults)
cell|q75|dollars|full|xgb|DAYSOFAR	obj_x_target	-31.13	-280.29	-269.49	0.5018	0.2207	99.8	VOID	objective x target at group=cell
cell|softmax1|maecap|full|xgb|BASE	obj_x_target	-31.36	-280.53	-337.0	0.2953	0.2595	99.8	LIVE	objective x target at group=cell
cellclass|softmax1|dollars|full|xgb|CELLREL	granularity_x_obj	-32.14	-281.31	-337.7	0.5845	0.4087	7.0	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|q75|maecap|full|xgb|DIP	obj_x_target	-36.1	-285.26	-328.83	0.2452	0.1677	99.8	LIVE	objective x target at group=cell
assetday|softmax1|dollars|full|xgb|BASE	granularity_x_obj	-36.39	-285.55	-350.77	0.5207	0.359	366.5	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|softmax1|maecap|full|xgb|DAYSOFAR	obj_x_target	-37.18	-286.34	-372.25	0.2887	0.268	99.8	LIVE	objective x target at group=cell
cell|ndcg3|winner|full|catb|BASE	engine_x_target	-37.53	-286.69	-396.45	0.505	0.204	99.8	LIVE	engine x target at the reference feature set
cell|softmax1|dollars|last2|xgb|CELLREL	pop_x_obj	-39.48	-288.65	-320.1	0.6896	0.5555	103.3	LIVE	population x objective at the marquee feature set
cell|q75|dollars|full|xgb|BASE	granularity_x_obj	-41.06	-290.22	-276.21	0.4952	0.2213	99.8	VOID	group definition is first-order in IR; swept against the objective at both feature levels
class|softmax1|dollars|full|xgb|BASE	granularity_x_obj	-46.24	-295.41	-350.31	0.5917	0.4192	10.3	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
day|dpairs|dollars|full|xgb|CELLREL	granularity_x_obj	-54.49	-303.66	-373.62	0.615	0.2595	1049.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
class|softmax1|dollars|full|xgb|CELLREL	granularity_x_obj	-55.93	-305.1	-337.5	0.6107	0.4321	10.3	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|softmax1|dollars|full|xgb|TABPFN	obj_x_target	-57.57	-306.73	-306.54	0.4842	0.3277	99.8	VOID	objective x target at group=cell
joint|softmax1|dollars|full|xgb|BASE	granularity_x_obj	-58.18	-307.35	-351.83	0.3897	0.2642	495.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
day|ndcg3|dollars|full|xgb|DAYSOFAR	marquee	-59.05	-308.21	-385.54	0.7434	0.3819	1049.7	LIVE	grouping x feature-set, the two axes the diagnosis names
cell|softmax1|dollars|recency|xgb|CELLREL	pop_x_obj	-60.53	-309.69	-310.05	0.5478	0.3397	99.8	LIVE	population x objective at the marquee feature set
joint|softmax1|dollars|full|xgb|TABPFN	joint	-63.1	-312.26	-363.86	0.39	0.2624	495.7	LIVE	OBJ-1: the {member x delay} choice set
cellclass|softmax1|dollars|full|xgb|BASE	granularity_x_obj	-74.08	-323.25	-342.73	0.5692	0.393	7.0	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|softmax1|dollars|full|xgb|CELLREL	granularity_x_obj	-74.33	-323.5	-271.62	0.5458	0.3451	99.8	VOID	group definition is first-order in IR; swept against the objective at both feature levels
day|ndcg3|dollars|full|xgb|DIP	marquee	-82.14	-331.31	-303.16	0.7464	0.3848	1049.7	VOID	grouping x feature-set, the two axes the diagnosis names
joint|softmax1|dollars|full|xgb|CELLREL	granularity_x_obj	-82.58	-331.74	-358.85	0.4083	0.2878	495.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|softmax1|dollars|full|xgb|DAYSOFAR	obj_x_target	-87.69	-336.86	-324.0	0.4786	0.3242	99.8	VOID	objective x target at group=cell
cell|softmax1|dollars|full|xgb|DIP	obj_x_target	-95.39	-344.56	-332.09	0.4826	0.3358	99.8	VOID	objective x target at group=cell
joint|softmax1|dollars|full|xgb|DAYSOFAR	joint	-99.98	-349.15	-385.6	0.3854	0.263	495.7	LIVE	OBJ-1: the {member x delay} choice set
day|ndcg3|dollars|full|xgb|TABPFN	marquee	-126.55	-375.72	-367.48	0.7495	0.3918	1049.7	VOID	grouping x feature-set, the two axes the diagnosis names
cell|softmax1|dollars|full|xgb|BASE	granularity_x_obj	-132.72	-381.89	-292.12	0.4831	0.3159	99.8	VOID	group definition is first-order in IR; swept against the objective at both feature levels
